Case Number,EVENTTIME,ACTIVITY_EN,Flag
1717694,2023-10-02 03:22:27,Set Case Status To Completed,0
1717694,2023-10-02 03:27:00,Task Created: Review/ Follow Up,0
1717694,2023-10-02 07:00:17,Task Completed: Review/ Follow Up,0
1717694,2023-10-02 07:00:17,Email Outbound,0
1717694,2023-10-02 07:00:17,Email Inbound,0
1717694,2023-10-02 07:00:17,Call Session Start,0
1717694,2023-10-02 07:00:17,Customer Chat Initiated,0
1717694,2023-10-02 07:00:17,Call Outbound,0
1717694,2023-10-02 07:00:17,Set No Reply Required,0
1717694,2023-10-02 07:00:17,Call Session End,0
1717694,2023-10-02 07:00:17,Create Work Order,0
1717694,2023-10-02 07:00:17,Submit Work Order,0
1717694,2023-10-02 07:00:17,Manual Case Created,0
1717694,2023-10-02 07:00:17,Set Case Status To Closed,0
1717694,2023-10-02 07:00:17,Call Inbound,0
1717694,2023-10-02 07:00:17,Set Work Order Status to Closed,0
1717694,2023-10-02 07:00:18,Set Work Order Status to Approved,0
1717694,2023-10-02 07:00:18,Set Work Order Status to Pending,0
1717694,2023-10-02 07:00:18,Set Case Status To Completed,0
1717694,2023-10-02 07:00:18,Task Created: Review/ Follow Up,0
1717694,2023-10-02 07:00:18,Task Completed: Review/ Follow Up,0
1717694,2023-10-02 07:00:18,Email Outbound,0
1717694,2023-10-02 07:00:18,Email Inbound,0
1717694,2023-10-02 07:00:18,Call Session Start,1
1717694,2023-10-02 07:00:18,Customer Chat Initiated,0
1717694,2023-10-02 07:00:18,Call Outbound,0
1717694,2023-10-02 07:00:18,Set No Reply Required,0
1717694,2023-10-02 07:00:18,Call Session End,0
1717694,2023-10-02 07:00:30,Create Work Order,0
1717694,2023-10-02 07:00:30,Submit Work Order,0
1717694,2023-10-02 07:00:31,Manual Case Created,0
1717694,2023-10-02 07:00:33,Set Case Status To Closed,0
1717694,2023-10-02 07:01:36,Call Inbound,0
1717694,2023-10-02 07:01:36,Set Work Order Status to Closed,0
1717694,2023-10-02 07:01:37,Set Work Order Status to Approved,0
1717694,2023-10-02 07:01:37,Set Work Order Status to Pending,0
1717694,2023-10-02 07:01:38,Set Case Status To Completed,0
1717694,2023-10-02 07:01:39,Task Created: Review/ Follow Up,0
1717694,2023-10-02 07:01:47,Task Completed: Review/ Follow Up,0
1717694,2023-10-02 07:01:49,Email Outbound,0
1717694,2023-10-02 07:01:55,Email Inbound,0
1717694,2023-10-02 07:01:55,Call Session Start,1
1717694,2023-10-02 07:01:55,Customer Chat Initiated,0
1717694,2023-10-02 07:02:00,Call Outbound,0
1717694,2023-10-02 07:02:00,Set No Reply Required,0
1717694,2023-10-02 07:02:00,Call Session End,0
1717694,2023-10-02 07:02:40,Create Work Order,0
1717694,2023-10-02 07:02:40,Submit Work Order,0
1717694,2023-10-02 07:02:43,Manual Case Created,0
1717694,2023-10-02 07:03:49,Set Case Status To Closed,0
1717694,2023-10-02 07:03:49,Call Inbound,0
1717694,2023-10-02 07:14:55,Set Work Order Status to Closed,0
1717694,2023-10-11 11:04:33,Set Work Order Status to Approved,0
1717694,2023-10-11 12:00:42,Set Work Order Status to Pending,0
1717694,2023-10-11 12:00:51,Set Case Status To Completed,0
1717694,2023-10-11 15:55:52,Task Created: Review/ Follow Up,0
1717694,2023-10-16 05:09:06,Task Completed: Review/ Follow Up,0
1717694,2023-10-16 06:01:26,Email Outbound,0
1717694,2023-10-16 06:09:20,Email Inbound,0
1717694,2023-10-16 09:30:29,Call Session Start,1
1717694,2024-03-11 13:41:14,Customer Chat Initiated,0
1717694,2024-03-11 13:41:14,Call Outbound,0
1717694,2024-03-11 13:41:16,Set No Reply Required,0
1717714,2023-10-04 15:29:48,Set Work Order Status to Closed,0
1717714,2023-10-04 15:29:49,Set Work Order Status to Approved,0
1717714,2023-10-16 10:42:45,Set Work Order Status to Pending,0
1717714,2023-10-16 12:14:11,Set Case Status To Completed,0
1717714,2023-10-16 15:04:43,Task Created: Review/ Follow Up,0
21616833,2023-05-17 15:53:02,Email Outbound,0
21616833,2023-05-17 15:53:02,Email Inbound,0
31717668,2023-09-26 20:11:22,Task Completed: Review/ Follow Up,0
31717668,2023-09-26 20:11:23,Email Outbound,0
31717668,2023-09-27 13:01:25,Email Inbound,0
31717668,2023-09-27 13:01:41,Call Session Start,1
31717668,2023-09-27 13:02:16,Customer Chat Initiated,0
31717668,2023-09-27 15:15:53,Call Outbound,0
31717689,2023-09-29 14:50:46,Task Completed: Review/ Follow Up,0
31717689,2023-09-29 14:50:46,Email Outbound,0
31717689,2023-09-29 14:50:47,Email Inbound,0
31717689,2023-09-29 14:50:47,Call Session Start,1
31717689,2023-09-29 14:51:12,Customer Chat Initiated,0
31717689,2023-09-29 14:52:37,Call Outbound,0
31717689,2023-09-29 14:53:08,Set No Reply Required,0
31717689,2023-09-29 14:59:47,Call Session End,0
131616830,2023-05-17 10:03:09,Task Completed: Review/ Follow Up,0
141616861,2023-05-22 21:40:34,Create Work Order,0
141616861,2023-05-22 21:40:34,Submit Work Order,0
141616861,2023-05-26 13:51:38,Manual Case Created,0
141717723,2023-10-05 19:01:06,Email Outbound,0
141717723,2023-10-05 19:01:07,Email Inbound,0
141717723,2023-10-05 20:25:59,Call Session Start,1
141717723,2023-10-05 20:38:42,Customer Chat Initiated,0
141717723,2023-10-05 20:39:03,Call Outbound,0
141717723,2023-10-05 21:37:09,Set No Reply Required,0
